omega,productivity,predictability,growth_rate,gini,in_window
9.600000000000000200e-02,3.592916942411207293e-01,2.220446049250313081e-16,7.766563145999496329e-04,2.621325051679959661e-01,0.000000000000000000e+00
9.800000000000000377e-02,3.666253083359911624e-01,2.220446049250313081e-16,7.928366544874486084e-04,2.634269323589958911e-01,0.000000000000000000e+00
1.000000000000000056e-01,3.739538235857300386e-01,2.220446049250313081e-16,8.090169943749475840e-04,2.647213595499958161e-01,0.000000000000000000e+00
1.020000000000000073e-01,3.812773128265610767e-01,2.220446049250313081e-16,8.251973342624464511e-04,2.660157867409957411e-01,0.000000000000000000e+00
1.040000000000000091e-01,3.885958495450322348e-01,2.220446049250313081e-16,8.413776741499454266e-04,2.673102139319956660e-01,0.000000000000000000e+00
1.059999999999999970e-01,3.959095078852884475e-01,2.220446049250313081e-16,8.575580140374444021e-04,2.686046411229955355e-01,0.000000000000000000e+00
1.079999999999999988e-01,4.032183626564448398e-01,2.220446049250313081e-16,8.737383539249432693e-04,2.698990683139954605e-01,0.000000000000000000e+00
1.100000000000000006e-01,4.105224893400584163e-01,2.220446049250313081e-16,8.899186938124423532e-04,2.711934955049953855e-01,0.000000000000000000e+00
1.120000000000000023e-01,4.178219640976993388e-01,2.220446049250313081e-16,9.060990336999412203e-04,2.724879226959953105e-01,0.000000000000000000e+00
1.140000000000000041e-01,4.251168637786276738e-01,2.220446049250313081e-16,9.222793735874401959e-04,2.737823498869952354e-01,0.000000000000000000e+00
1.160000000000000059e-01,4.324072659275715047e-01,2.220446049250313081e-16,9.384597134749390630e-04,2.750767770779951604e-01,0.000000000000000000e+00
1.180000000000000077e-01,4.396932487926126232e-01,2.220446049250313081e-16,9.546400533624381469e-04,2.763712042689950854e-01,0.000000000000000000e+00
1.199999999999999956e-01,4.469748913331791362e-01,2.220446049250313081e-16,9.708203932499369056e-04,2.776656314599949549e-01,0.000000000000000000e+00
1.219999999999999973e-01,4.542522732281466524e-01,2.220446049250313081e-16,9.870007331374357727e-04,2.789600586509948799e-01,0.000000000000000000e+00
1.239999999999999991e-01,4.615254748840526000e-01,2.220446049250313081e-16,1.003181073024934965e-03,2.802544858419948048e-01,0.000000000000000000e+00
1.260000000000000009e-01,4.687945774434203461e-01,2.220446049250313081e-16,1.019361412912433941e-03,2.815489130329947298e-01,0.000000000000000000e+00
1.280000000000000027e-01,4.760596627932003333e-01,2.220446049250313081e-16,1.035541752799932699e-03,2.828433402239946548e-01,0.000000000000000000e+00
1.300000000000000044e-01,4.833208135733263466e-01,2.220446049250313081e-16,1.051722092687431892e-03,2.841377674149945798e-01,0.000000000000000000e+00
1.320000000000000062e-01,4.905781131853911292e-01,2.220446049250313081e-16,1.067902432574930867e-03,2.854321946059944493e-01,0.000000000000000000e+00
1.340000000000000080e-01,4.978316458014396817e-01,2.220446049250313081e-16,1.084082772462429626e-03,2.867266217969943742e-01,0.000000000000000000e+00
1.360000000000000098e-01,5.050814963728892382e-01,2.220446049250313081e-16,1.100263112349928818e-03,2.880210489879942992e-01,0.000000000000000000e+00
1.380000000000000115e-01,5.123277506395681469e-01,2.220446049250313081e-16,1.116443452237427794e-03,2.893154761789942242e-01,0.000000000000000000e+00
1.400000000000000133e-01,5.195704951388852022e-01,2.220446049250313081e-16,1.132623792124926553e-03,2.906099033699941492e-01,0.000000000000000000e+00
1.420000000000000151e-01,5.268098172151244318e-01,2.220446049250313081e-16,1.148804132012425528e-03,2.919043305609940742e-01,0.000000000000000000e+00
1.440000000000000169e-01,5.340458050288718894e-01,2.220446049250313081e-16,1.164984471899924504e-03,2.931987577519939991e-01,0.000000000000000000e+00
1.459999999999999909e-01,5.412785475665736756e-01,2.220446049250313081e-16,1.181164811787423262e-03,2.944931849429938686e-01,0.000000000000000000e+00
1.479999999999999927e-01,5.485081346502295174e-01,2.220446049250313081e-16,1.197345151674922238e-03,2.957876121339937936e-01,0.000000000000000000e+00
1.499999999999999944e-01,5.557346569472225717e-01,2.220446049250313081e-16,1.213525491562421213e-03,2.970820393249937186e-01,0.000000000000000000e+00
1.519999999999999962e-01,5.629582059802887839e-01,2.220446049250313081e-16,1.229705831449920189e-03,2.983764665159936436e-01,0.000000000000000000e+00
1.539999999999999980e-01,5.701788741376271341e-01,2.220446049250313081e-16,1.245886171337419164e-03,2.996708937069935685e-01,0.000000000000000000e+00
1.559999999999999998e-01,5.773967546831544340e-01,2.220446049250313081e-16,1.262066511224917923e-03,3.009653208979934380e-01,0.000000000000000000e+00
1.580000000000000016e-01,5.846119417669051188e-01,2.220446049250313081e-16,1.278246851112417115e-03,3.022597480889933630e-01,0.000000000000000000e+00
1.600000000000000033e-01,5.918245304355808090e-01,2.220446049250313081e-16,1.294427190999916091e-03,3.035541752799932880e-01,0.000000000000000000e+00
1.620000000000000051e-01,5.990346166432504171e-01,2.220446049250313081e-16,1.310607530887414850e-03,3.048486024709932130e-01,0.000000000000000000e+00
1.640000000000000069e-01,6.062422972622029116e-01,2.220446049250313081e-16,1.326787870774914042e-03,3.061430296619931379e-01,0.000000000000000000e+00
1.660000000000000087e-01,6.134476700939587301e-01,2.220446049250313081e-16,1.342968210662413018e-03,3.074374568529930629e-01,0.000000000000000000e+00
1.680000000000000104e-01,6.206508338804367364e-01,2.220446049250313081e-16,1.359148550549911776e-03,3.087318840439929879e-01,0.000000000000000000e+00
1.700000000000000122e-01,6.278518883152861552e-01,2.220446049250313081e-16,1.375328890437410969e-03,3.100263112349929129e-01,0.000000000000000000e+00
1.720000000000000140e-01,6.350509340553784909e-01,2.220446049250313081e-16,1.391509230324909944e-03,3.113207384259928379e-01,0.000000000000000000e+00
1.740000000000000158e-01,6.422480727324714200e-01,2.220446049250313081e-16,1.407689570212408703e-03,3.126151656169927073e-01,0.000000000000000000e+00
1.759999999999999898e-01,6.494434069650381058e-01,2.220446049250313081e-16,1.423869910099907462e-03,3.139095928079926323e-01,0.000000000000000000e+00
1.779999999999999916e-01,6.566370403702718184e-01,2.220446049250313081e-16,1.440050249987406654e-03,3.152040199989925573e-01,0.000000000000000000e+00
1.799999999999999933e-01,6.638290775762654139e-01,2.220446049250313081e-16,1.456230589874905413e-03,3.164984471899924268e-01,0.000000000000000000e+00
1.819999999999999951e-01,6.710196242343687834e-01,2.220446049250313081e-16,1.472410929762404388e-03,3.177928743809923517e-01,0.000000000000000000e+00
